"num","team","total_points","total_notes","total_note_points","auto_notes","auto_points","teleop_notes","teleop_points","amp_notes","speaker_notes","amplified_notes","endgame_points","endgame_park_points","endgame_on_stage_points","endgame_harmony_points","endgame_trap_points","endgame_spotlight_points"
"1678","Citrus Circuits","58.3","12.5","49.4","3.3","18.4","9.1","32.6","3.7","8.8","6","7.2","0.09","3.3","-0.15","3.6","0.34"
"1323","MadTown Robotics","56.9","12.3","47.4","3.6","19.8","8.7","29.4","3.1","9.3","5","7.7","-0.2","3.7","-0.09","4","0.26"
"3005","RoboChargers","54.9","12.7","48.3","2.7","16","10","34.7","4.5","8.3","6.4","4.2","-0.05","3.2","0.99","-0.1","0.22"
"6328","Mechanical Advantage","54.3","12","46.1","3","16.7","9","31.2","2.9","9.1","5.4","6.4","0.15","3.1","-0.15","3.1","0.16"
"2056","OP Robotics","53.7","12.4","48.5","3","16.7","9.4","33.3","3.4","9","6","3.8","0.15","2.9","0.59","-0.2","0.44"
"1690","Orbit","53.7","12","46.4","3","17","9","31.3","4.1","8","5.8","5.3","0.18","2.8","0.25","2","0.11"
"1796","RoboTigers","53","11.4","45.2","3.4","18.6","8","28.2","3.5","8","5.2","6.2","0.07","2.8","-0.13","3.3","0.19"
"1771","North Gwinnett Robotics","52.7","12.3","45.2","3.6","19.9","8.7","27.3","2.8","9.6","4.2","5.6","0.24","2.1","-0.12","3.3","0.02"
"1756","Argos","52.1","12.1","44","2.3","13.2","9.9","32.7","3.7","8.4","5.6","6.2","0.1","2.4","-0.12","3.6","0.19"
"254","The Cheesy Poofs","51.4","11.5","43.1","2.8","15.6","8.7","29.5","3.6","7.9","5.2","6.3","0.01","3.2","-0.1","3.1","0.1"
"1706","Ratchet Rockers","51.3","11.5","43.4","3","17","8.5","28.1","3.3","8.3","4.8","6.2","-0.06","3.1","-0.06","3","0.2"
"604","Quixilver","51","11.8","43.5","3","16.6","8.9","28.6","2.9","8.9","4.6","5.8","0.23","2.7","-0.1","3","-0.1"
"2910","Jack in the Bot","50.2","13","45.6","2.2","13","10.8","34.6","3.1","9.9","5.4","2.6","0.3","1.9","-0.01","0.3","0.13"
"4414","HighTide","49.5","11.5","42","3.3","18.1","8.2","25.6","3.1","8.3","4.1","5.9","0.01","2.9","0.06","2.8","0.05"
"5940","BREAD","49.2","10.5","40.8","2.8","15.7","7.7","26.8","3.1","7.4","4.9","6.7","0.17","2.5","-0.13","4","0.16"
"3478","PrepaTec - LamBot","47.9","10.7","39.9","2.5","14.3","8.2","27.5","3.6","7.1","4.9","6.1","0.21","2.7","-0.07","3.2","0.09"
"3467","Windham Windup","47.6","12.2","42.3","2","11.8","10.2","32.5","4.5","7.7","5.5","3.3","0.15","2.6","0.26","0.3","0"
"9483","İstanbul Wildcats","47.6","12.1","44","2.8","15.8","9.4","30.2","3","9.1","4.8","1.5","0.52","1.4","-0.03","-0.3","-0.01"
"4613","Barker Redbacks","47.6","12.4","43.6","2.2","13","10.2","32.5","3.3","9.1","5.1","2.1","0.41","1.6","0.25","-0.4","0.18"
"359","Hawaiian Kids","47.5","10.7","39.3","2.7","15.2","8","25.8","3.7","7","4.5","6.4","0.05","3.1","-0.02","3.3","0.03"
"368","Team Kika Mana","47.3","10.6","38.6","3","16.9","7.5","23.5","2.8","7.7","3.8","6.8","-0.03","3","-0.05","4","0"
"2075","Enigma Robotics","47.1","11.5","40.7","2.5","14.3","9.1","28.4","2.9","8.6","4.4","4.4","0.21","2.7","-0.05","1.4","0.12"
"1778","Chill Out","46.8","11.2","40.7","2.4","13.8","8.8","28.9","3.9","7.3","5","4.2","-0.03","3.2","0.44","0.5","0.08"
"3847","Spectrum   -△◅","46.7","11","39.9","2.8","15.3","8.3","26.1","3.2","7.8","4.3","5.3","0.14","2.6","-0.28","2.9","-0.03"
"2974","Walton Robotics","46.4","12.3","43.5","2.6","14.7","9.7","30.5","4.4","7.9","5.2","1.2","0.51","0.8","0.22","-0.4","0.05"
"2481","Roboteers","46","11.6","41.7","2.2","12.4","9.4","30.6","4","7.6","5.3","3","0.38","1.7","0.75","-0.1","0.28"
"5460","Strike Zone","45.9","11","39","2.4","14.1","8.6","27","3.1","8","4.3","4.8","0.15","2.4","-0.1","2.4","-0.02"
"1731","Fresta Valley Robotics Club","45.9","10.7","37.7","2.6","15","8","24.5","3.6","7.1","4","6.4","-0.22","3.6","0.02","2.9","0.13"
"2767","Stryke Force","45.4","9.6","37.1","2.4","13.8","7.2","25","3.4","6.2","4.7","6.6","-0.14","3.3","0.04","3.5","-0.06"
"987","HIGHROLLERS","45.2","10.8","37.7","2.1","12.2","8.7","27.2","3.1","7.6","4.3","5.8","-0.02","2.9","-0.16","2.9","0.22"
"4391","BraveBots","45.2","11.4","40","3","17","8.4","25.1","2.6","8.8","3.6","3","0.26","2","0.39","0.1","0.28"
"125","NUTRONs","44.8","10","36.6","2.7","15","7.3","23.1","3.2","6.9","3.9","6.7","-0.08","3.1","-0.21","3.7","0.17"
"4362","Gems","44.8","10.2","36.6","1.9","11.8","8.3","27","3","7.2","4.5","6","-0.05","3","0.32","2.8","-0.03"
"4635","PrepaTec - Botbusters","44.4","11","39.6","2.5","14.3","8.5","27.3","3.7","7.3","4.6","2.8","0.22","2.2","0.17","0.1","0.08"
"27","Team RUSH","44.2","10.3","38.8","2","11.8","8.3","29","3.3","7","5.2","3.4","0.19","2.1","0.53","0.4","0.19"
"114","Eaglestrike","44.2","11","38.2","1.7","10.3","9.2","29.7","3.3","7.6","4.8","4.2","-0.02","2.9","0.5","0.7","0.14"
"6800","Valor","44.1","10.4","37.4","2.2","13.1","8.2","26.5","3.4","7","4.5","4.6","-0.01","3.1","1","0.2","0.21"
"33","Killer Bees","43.9","10.6","37.8","1.6","10.2","9","29.7","3.5","7.1","5.1","4.1","-0.1","3.2","0.69","0.1","0.13"
"3683","Team DAVE","43.9","10.4","38.1","2.3","13.6","8.1","26.7","3.4","7","4.6","3.6","0.11","2.7","-0.15","1.1","-0.08"
"5712","Hemlock's Gray Matter","43.7","9.7","35.9","2.4","13.9","7.3","23.9","3.4","6.4","4.2","5.8","0.04","2.8","-0.08","2.9","0.17"
"6329","The Bucks' Wrath","43.7","11.2","39.3","2.1","12.8","9.1","28.6","4","7.2","4.8","2.2","0.25","2.1","0.04","0","-0.09"
"4766","Team SCREAM Jr.","43.7","10.5","38.2","2.4","13.9","8.1","26.1","3.7","6.8","4.6","3.7","0.08","2.7","0.62","-0.3","0.54"
"2539","Krypton Cougars","43.5","10.2","34.9","2.1","12.4","8.1","24.6","2.9","7.2","3.8","6.5","0.05","3","-0.06","3.5","0.02"
"2200","BCR Blackout","43.2","9.3","33.8","2","12.3","7.3","23.5","3.1","6.1","4.1","7.4","-0.04","3.2","-0.07","4.2","0.09"
"7769","The CREW","43.2","11.1","36.7","2.7","15.5","8.4","23","3.5","7.6","3.3","4.6","0.19","2.8","0.35","1.3","-0.01"
"4481","Team Rembrandts","43.1","11.4","40","2.5","14.6","8.9","27.3","3.4","8","4.3","1.2","0.3","1.4","0.23","-0.6","-0.05"
"1261","Robo Lions Team1261","43.1","11.8","39.6","2.2","12.6","9.5","28.5","3.1","8.7","4.2","2","0.54","1.3","0.02","0.2","0.02"
"2642","Pitt Pirates","42.9","11.4","39.1","1.8","10.7","9.6","30","3.1","8.3","4.7","2.2","0.48","1.6","0.02","0.1","-0.01"
"2054","Tech Vikes","42.9","9.6","34.6","1.8","11.1","7.8","25.5","3.6","6","4.5","6.2","0.28","2.4","-0.1","3.5","0.13"
"3276","TOOLCATS","42.8","10","37.2","2.3","12.9","7.7","25.6","3.8","6.3","4.7","4.3","0","2.1","-0.27","2.3","0.21"
"9496","LYNK","42.6","11.3","39.2","2.8","15.8","8.5","25.2","2.6","8.8","3.6","1.5","0.62","0.6","0.11","0.2","-0.02"
"3663","CPR - Cedar Park Robotics","42.6","10.8","36.3","2.5","14.3","8.4","24","2","8.8","3.1","4.3","0.04","2.8","0.61","0.6","0.15"
"180","S.P.A.M.","42.6","9.6","36.5","3.5","19.6","6.1","18.8","2.6","7","3.1","4.2","0.03","2.8","0.05","0.8","0.57"
"3538","RoboJackets","42.5","9.5","33.2","2.2","13","7.3","22.4","2.8","6.7","3.5","7.1","-0.07","3.4","-0.13","3.7","0.17"
"1676","The Pascack PI-oneers","42.4","9.4","34","2","11.4","7.4","24","2.6","6.8","3.9","7","-0.12","3.6","0.04","3.3","0.12"
"449","The Blair Robot Project","42.3","10.3","36.7","2.9","16.2","7.4","22.3","3.2","7.1","3.6","3.9","0.16","2.8","0.39","0.3","0.24"
"5687","The Outliers","42.3","11","37.5","1.9","11.1","9.1","28.4","3.8","7.2","4.6","2.8","0.31","1.9","0.32","0.3","-0.02"
"2811","StormBots","42.3","9.7","33.2","2.2","13.5","7.5","22","3","6.7","3.4","6.7","-0.03","3.2","-0.03","3.5","0.15"
"4522","Team SCREAM","42.3","10.1","36.3","2.3","13.2","7.8","24.7","3.4","6.7","4.2","4.4","0.33","1.8","-0.14","2.2","0.2"
"1807","Redbird Robotics","42.2","10.2","37.4","1.9","11.1","8.3","28.2","3","7.2","4.9","2.9","0.35","1.9","0.45","-0.1","0.23"
"103","Cybersonics","42","10.9","37.8","2.3","13.4","8.6","26.3","2.5","8.4","3.9","2.3","0.38","2","0.2","-0.4","0.17"
"7407","Wired Boars","42","9.5","33.8","2.2","13.1","7.3","22.7","2.8","6.8","3.6","6.2","-0.12","3.3","0","2.9","0.19"
"5813","Morpheus","42","10","35.8","2.8","15.4","7.2","22","2.9","7.1","3.5","4.6","0.17","2.3","0.1","2","-0.01"
"133","B.E.R.T.","41.9","9.5","32.7","2.1","12.1","7.4","22.3","3.4","6.1","3.6","7.6","0.05","3.2","-0.11","4.3","0.16"
"2590","Nemesis","41.9","9.6","34.9","2.5","14.7","7.1","22.5","2.8","6.8","3.7","4.8","0.16","2.3","-0.11","2.3","0.11"
"2521","SERT","41.9","10.4","36.5","2.3","13.9","8.1","24.8","3","7.4","3.9","3.1","0.34","2.2","0.24","0.3","0"
"581","Blazing Bulldogs","41.8","9.4","34.6","2.6","14.6","6.8","21.8","3","6.5","3.7","5.5","0.16","2.7","-0.02","2.6","0.08"
"2046","Bear Metal","41.8","10.4","35.7","1.9","11","8.5","26.5","3.3","7","4.3","4.3","0.04","2.3","-0.15","2","0.11"
"7457","suPURDUEper Robotics","41.8","9.3","33.6","2.3","14","6.9","22","3.4","5.9","3.8","5.8","-0.07","2.6","-0.11","3.4","0.01"
"8013","Boston Lions","41.6","9.3","32.8","1.8","11.1","7.6","23.9","3.4","6","4.1","6.6","0.07","2.9","-0.14","3.7","-0.01"
"131","CHAOS","41.5","9.1","32.2","1.4","9.3","7.7","25.2","2.9","6.2","4.3","7","-0.03","3.2","-0.23","4","0.07"
"6672","Fusion Corps","41.5","10.4","37.1","1.9","11.3","8.5","27.8","3.6","6.8","4.8","2.4","0.36","1.9","0.23","0","-0.07"
"6459","AG Robotik","41.4","11.8","38.3","2","11.5","9.9","28.4","2.5","9.3","3.7","1.5","0.79","0.7","-0.02","0","0.06"
"5895","Peddie Robotics","41.3","10.5","36.8","2.6","14.4","8","23.8","2.9","7.7","3.6","3","0.05","2.4","0.29","0.1","0.19"
"5951","Makers Assemble","41.3","10.1","35.6","2.2","13.2","7.9","24.4","3.5","6.6","4.1","3.6","0.22","2.2","0.07","1.1","0.14"
"3061","Huskie Robotics","41.2","10.8","36.6","1.8","11","9","27.7","2.7","8.1","4.1","2.6","0.43","1.8","0.56","-0.5","0.18"
"118","Robonauts","41","8.2","33.6","2.5","14","5.7","21.2","2.7","5.5","4.2","5.8","0.04","3","-0.1","2.8","0.08"
"7021","TC Robotics","40.9","9.3","33.7","2.6","14.6","6.8","20.9","2.6","6.8","3.3","5.5","0.27","2.6","0.1","2.5","0.04"
"176","Aces High","40.9","10.1","36.9","2.4","14.3","7.7","24.7","3.2","7","4.2","1.9","0.52","1.1","-0.02","0.3","0.02"
"1114","Simbotics","40.7","10.6","37.3","2.3","13.1","8.3","26","2.7","7.9","4","1.7","0.55","1.1","-0.04","0","0.04"
"1787","The Flying Circuits","40.7","10.5","35.3","1.8","10.6","8.7","26.6","3.6","6.9","4.2","3.5","0.29","2","-0.14","1.3","-0.02"
"6443","AEMBOT","40.6","10.2","36.2","2.4","14.3","7.7","24","3.3","6.9","3.9","2.3","0.44","1","-0.11","0.9","-0.02"
"8044","Denham Venom","40.6","10.3","35.1","1.8","10.8","8.5","26","3.3","7","4.1","3.8","0.17","2.4","-0.02","1.1","0.12"
"4039","MakeShift Robotics","40.5","9.3","35","2","11.6","7.3","25.1","3.1","6.3","4.5","3.7","0.35","2.1","-0.05","1.4","-0.09"
"1591","Greece Gladiators","40.3","10.1","34.5","2.5","14.5","7.6","22","2.1","8","3","3.8","0.07","3.1","0.38","0.1","0.18"
"1701","RoboCubs","40.3","10.3","35.8","2.5","14.4","7.8","23.4","2.8","7.5","3.5","2.6","0.37","1.8","0.29","0","0.05"
"694","StuyPulse","40.3","9.6","32.9","1.6","9.9","8","24.8","3.4","6.2","4.1","5.5","0.18","2.7","-0.05","2.6","0.11"
"5436","Cyber Cats","40.2","10.1","35.3","1.7","10.1","8.4","26.8","3.3","6.8","4.4","3.4","0.29","2.2","0.29","0.4","0.21"
"353","POBots","40.1","10","34.4","2.1","12.4","7.9","24.1","3.1","6.9","3.8","3.6","0.18","2.6","0.58","0","0.23"
"2468","Team Appreciate","40","10.9","35.1","0.8","5.9","10.1","31","2.7","8.2","4.5","3.1","0.22","1.8","-0.09","1.2","-0.05"
"1699","Robocats","40","10","35.7","2.4","13.4","7.7","23.8","2.7","7.4","3.7","2.8","0.2","2.2","0.44","-0.1","0.09"
"4206","Robo Vikes","40","10.6","36.2","1.4","8.9","9.3","29.4","3.3","7.4","4.7","1.6","0.48","1.4","0.2","-0.6","0.08"
"7028","Binary Battalion","39.9","10.5","38","2","11.7","8.5","28.2","2.8","7.7","4.7","0","1.15","-0.5","-0.14","-0.5","-0.02"
"5804","TORCH","39.8","10.1","35.4","2","11.4","8.1","25.3","3.5","6.6","4.2","3","0.07","2.3","0.12","0.3","0.22"
"3173","IgKnighters","39.6","11","37","2.3","13.2","8.6","25.3","2.9","8.1","3.7","1.1","0.67","0.5","-0.04","-0.1","0.16"
"9128","ITKAN Robotics: Team Tawasaw","39.5","9.8","34.9","2.3","13.5","7.5","23.1","3","6.8","3.7","2.9","0.13","2.3","0.24","0.2","-0.02"
"4230","TopperBots","39.5","9","34.5","2","11.2","7","24.8","3.6","5.4","4.8","3.5","0","2.4","0","1","0.01"
"1683","Techno Titans","39.4","11.1","36.5","2.4","14.2","8.6","24.4","2.8","8.3","3.3","0.9","0.74","-0.1","-0.1","0.2","0.09"
"4795","Eastbots","39.4","11","36.4","2.2","12.6","8.8","25.6","3.2","7.8","3.7","1.2","0.98","0.1","-0.05","0.2","-0.05"
"4607","C.I.S.","39.3","10.1","33.1","1.9","11.3","8.2","23.7","3.2","6.9","3.5","4.4","0.27","2.2","0.13","1.6","0.13"